team,metro,player_count,avg_stars,total_stars
Michigan,"New York-Newark-Jersey City, NY-NJ","3","1","3"
Texas,"New York-Newark-Jersey City, NY-NJ","1","4","0"
Alabama,"North Port-Bradenton-Sarasota, FL","1","5","5"
Michigan,"North Port-Bradenton-Sarasota, FL","1","0","0"
Washington,"Olympia-Lacey-Tumwater, WA","3","2","6"
Texas,"Orlando-Kissimmee-Sanford, FL","2","4","8"
Washington,"Oxnard-Thousand Oaks-Ventura, CA","2","3.5","7"
Alabama,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","1","5","8"
Michigan,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","2","4","5"
Texas,"Phoenix-Mesa-Chandler, AZ","2","3.5","15"
Washington,"Phoenix-Mesa-Chandler, AZ","6","2.5","7"
Alabama,"Pittsburgh, PA","1","3","3"
Michigan,"Pittsburgh, PA","1","0","3"
Washington,"Pittsburgh, PA","1","3","0"
Michigan,"Portland-Vancouver-Hillsboro, OR-WA","1","4","4"
Washington,"Portland-Vancouver-Hillsboro, OR-WA","3","0.6666666667","2"
Michigan,"Providence-Warwick, RI-MA","1","3","3"
Michigan,"Riverside-San Bernardino-Ontario, CA","1","3","7"
Washington,"Riverside-San Bernardino-Ontario, CA","3","2.333333333","3"
Alabama,"Russellville, AL","1","0","0"
Washington,"Sacramento-Roseville-Folsom, CA","2","4","8"
Washington,"Salt Lake City-Murray, UT","1","3","3"
Texas,"San Antonio-New Braunfels, TX","2","0","0"
Alabama,"San Diego-Chula Vista-Carlsbad, CA","2","2","7"
Michigan,"San Diego-Chula Vista-Carlsbad, CA","2","3.5","7"
Texas,"San Diego-Chula Vista-Carlsbad, CA","1","3","4"
Washington,"San Diego-Chula Vista-Carlsbad, CA","2","3.5","3"
Michigan,"San Francisco-Oakland-Fremont, CA","2","2","23"
Washington,"San Francisco-Oakland-Fremont, CA","9","2.555555556","4"
Michigan,"San Jose-Sunnyvale-Santa Clara, CA","1","0","0"
Texas,"San Jose-Sunnyvale-Santa Clara, CA","1","0","0"
Washington,"San Jose-Sunnyvale-Santa Clara, CA","4","0","0"
Washington,"Santa Cruz-Watsonville, CA","1","3","3"
Texas,"Seattle-Tacoma-Bellevue, WA","1","4","46"
Washington,"Seattle-Tacoma-Bellevue, WA","29","1.586206897","4"
Alabama,"Sebastian-Vero Beach-West Vero Corridor, FL","2","5","10"
Alabama,"Seneca, SC","1","0","0"
Alabama,"Shreveport-Bossier City, LA","1","4","4"
Michigan,"South Bend-Mishawaka, IN-MI","1","0","0"
Washington,"Spokane-Spokane Valley, WA","1","3","3"
Alabama,"St. Louis, MO-IL","1","4","4"
Michigan,"St. Louis, MO-IL","2","1.5","3"
Washington,"Stockton-Lodi, CA","1","0","0"
Alabama,"Tallahassee, FL","2","4","8"
Alabama,"Tampa-St. Petersburg-Clearwater, FL","2","4.5","9"
Michigan,"Tampa-St. Petersburg-Clearwater, FL","2","2","4"
Washington,"Tampa-St. Petersburg-Clearwater, FL","1","3","3"
Alabama,"Topeka, KS","1","0","0"
Michigan,"Traverse City, MI","1","0","0"
