id,name,team,height,weight,year,position,hometown,state,country,latitude,longitude
4433963,Zak Zinter,Michigan,78.0,322.0,4.0,OL,North Andover,MA,USA,42.6839894,-71.1127065
4433970,J.J. McCarthy,Michigan,75.0,202.0,3.0,QB,La Grange Park,IL,USA,41.8333646,-87.8677324
4571267,Dale Chesson,Michigan,72.0,194.0,4.0,WR,Saint Louis,MO,USA,38.6280278,-90.1910154
4572041,Danny Hughes,Michigan,72.0,208.0,4.0,RB,Naperville,IL,USA,41.7728699,-88.1479278
4572043,Leon Franklin,Michigan,69.0,205.0,4.0,RB,Southfield,MI,USA,42.4733689,-83.2218731
4572050,Keshaun Harris,Michigan,71.0,192.0,4.0,DB,Lansing,MI,USA,42.7338254,-84.5546295
4572051,William Wagner,Michigan,74.0,245.0,4.0,LS,Alpharetta,GA,USA,34.0709576,-84.2747329
4572371,Josh Wallace,Michigan,72.0,190.0,4.0,DB,Hyattsville,MD,USA,38.9529442,-76.9408647
4575529,James Turner,Michigan,72.0,196.0,4.0,PK,Saline,MI,USA,42.1667072,-83.7816075
4576297,AJ Barner,Michigan,78.0,251.0,4.0,TE,Aurora,OH,USA,41.317555,-81.345386
4594984,Tavierre Dunlap,Michigan,72.0,229.0,4.0,RB,Del Valle,TX,USA,,
4596357,Kechaun Bennett,Michigan,76.0,257.0,4.0,DE,Suffield,CT,USA,41.9816944,-72.6506604
4599197,Tristan Bounds,Michigan,80.0,305.0,4.0,OL,Wallingford,CT,USA,41.4570418,-72.8231552
4600387,TJ Guy,Michigan,76.0,250.0,4.0,DE,Mansfield,MA,USA,42.0334326,-71.2189405
4603101,Rod Moore,Michigan,72.0,198.0,4.0,DB,Clayton,OH,USA,39.8631101,-84.3605022
4611768,Jaydon Hood,Michigan,73.0,225.0,4.0,LB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786
4682698,Dominick Giudice,Michigan,76.0,310.0,4.0,OL,Freehold,NJ,USA,40.2601096,-74.2737573
4682758,Tommy Doman,Michigan,76.0,215.0,4.0,PK,Rochester Hills,MI,USA,42.6583661,-83.1499322
4682983,Josaiah Stewart,Michigan,73.0,245.0,4.0,DE,Everett,MA,USA,42.40843,-71.0536625
4683118,Ja'Den McBurrows,Michigan,71.0,194.0,4.0,DB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786
