id,name,team,height,weight,year,position,hometown,state,country
4940235,Taeshaun Lyons,Washington,73,177,1,WR,Hayward,CA,USA
4954503,Jordan Whitney,Washington,72,216,1,LB,Oxnard,CA,USA
4988081,Vincent Holmes,Washington,72,187,1,S,San Jacinto,CA,USA
5017177,Keith Reynolds,Washington,69,180,1,WR,Adelanto,CA,USA
5077303,Jacob Lane,Washington,77,255,2,EDGE,Puyallup,WA,USA
5077669,Diesel Gordon,Washington,72,164,1,S,Arlington,TX,USA
5077875,Zachary Henning,Washington,77,299,1,OL,Centennial,CO,USA
5078347,Soane Faasolo,Washington,80,295,1,OL,East Palo Alto,CA,USA
5078420,Leroy Bryant,Washington,71,180,1,CB,Fairfield,CA,USA
5079508,Austin Mack,Washington,78,236,1,QB,Folsom,CA,USA
5082670,Jakson Berman,Washington,71,190,2,CB,San Jose,CA,USA
5082671,Tristan Warner,Washington,73,206,2,S,Tacoma,WA,USA
5082672,Anay Nagarajan,Washington,71,190,3,CB,San Jose,CA,USA
5082673,Austin Harnetiaux,Washington,75,232,2,LB,Seattle,WA,USA
5082675,Griffin Miller,Washington,74,227,2,LB,Sammamish,WA,USA
5082676,Jake Parnagian,Washington,70,204,2,WR,Clovis,CA,USA
5082677,Jackson Girouard,Washington,72,193,3,WR,Redwood City,CA,USA
5082678,John Frazier,Washington,78,244,2,TE,Mountain View,CA,USA
5084987,Kahlee Tafai,Washington,77,338,1,OL,Los Angeles,CA,USA
5085885,Braydon Bruener,Washington,72,194,1,LB,Redmond,WA,USA
5095358,Caleb Johnston,Washington,71,221,2,LS,Ripon,CA,USA
5095359,Camdyn Stiegeler,Washington,73,203,1,QB,Oregon City,OR,USA
5121433,Zach Durfee,Washington,77,256,4,EDGE,Dawson,MN,USA
5122374,Owen Coutts,Washington,76,230,3,TE,Seattle,WA,USA
5151880,Thaddeus Dixon,Washington,73,186,4,CB,Los Angeles,CA,USA
5151881,Alex Johnson,Washington,78,214,3,QB,Seattle,WA,USA
5151882,Ryder Bumgarner,Washington,69,195,1,RB,Stanwood,WA,USA
5151883,Luke Luchini,Washington,73,195,1,WR,Meridian,ID,USA
5151884,Logan Lisherness,Washington,74,230,1,LB,Puyallup,WA,USA
5151885,Parker Cross,Washington,74,284,1,OL,Seattle,WA,USA
5151886,Jacob Mason,Washington,74,245,1,DE,Ferndale,WA,USA
5151887,Roice Cleeland,Washington,74,297,1,OL,Vancouver,WA,USA
5151888,Aidan Anderson,Washington,76,319,1,OL,Olympia,WA,USA
5151889,Habib Bello,Washington,74,310,1,DL,Bellingham,WA,USA
5151890,Troy Petz,Washington,73,193,2,P,Lynden,WA,USA
