fid,PNT1N,PNT2N,ID1,ID2,distance
"142",players,schools,"4596545","2",807.464686169663
"143",players,schools,"4597500","3",160.915815409856
"144",players,schools,"4599197","1",758.846526829303
"145",players,schools,"4600387","1",866.270488848724
"146",players,schools,"4602016","2",109.400581484862
"147",players,schools,"4602199","3",1.33938876257465
"148",players,schools,"4602936","3",203.5010656884
"149",players,schools,"4603101","1",225.754769187448
"150",players,schools,"4603190","3",530.07745751537
"151",players,schools,"4611768","1",1382.41137049357
"152",players,schools,"4678008","3",86.6319922792711
"153",players,schools,"4682698","1",680.502438862904
"154",players,schools,"4682758","1",54.1087086346681
"155",players,schools,"4682983","1",877.48702349598
"156",players,schools,"4683062","3",1616.76442040802
"157",players,schools,"4683118","1",1382.41137049357
"158",players,schools,"4683138","4",991.625903290788
"159",players,schools,"4683181","4",1003.12621569495
"160",players,schools,"4683262","1",304.539066728869
"161",players,schools,"4683386","4",1471.23107823721
"162",players,schools,"4683554","4",1410.12978128429
"163",players,schools,"4683643","3",530.07745751537
"164",players,schools,"4684069","4",9174.20044036831
"165",players,schools,"4685092","3",240.424810811207
"166",players,schools,"4685240","3",2284.82608574025
"167",players,schools,"4685241","3",195.953674590433
"168",players,schools,"4685243","2",50.0031977407356
"169",players,schools,"4685260","3",172.450133794377
"170",players,schools,"4685261","4",1196.54844413127
"171",players,schools,"4685263","2",1232.23574954553
"172",players,schools,"4685279","3",168.936567170249
"173",players,schools,"4685287","2",1034.74620766565
"174",players,schools,"4685297","1",2711.1739443832
"175",players,schools,"4685311","1",2413.59951316006
"176",players,schools,"4685322","4",46.1975275487454
"177",players,schools,"4685331","3",816.133310271029
"178",players,schools,"4685375","3",264.915616994223
"179",players,schools,"4685381","2",214.464285098793
"180",players,schools,"4685408","1",48.0982398815873
"181",players,schools,"4685410","3",239.324787711252
"182",players,schools,"4685422","1",769.166141198806
"183",players,schools,"4685437","2",762.258835374891
"184",players,schools,"4685441","2",433.367521857832
"185",players,schools,"4685461","1",563.535898973373
"186",players,schools,"4685464","1",304.539066728869
"187",players,schools,"4685477","2",541.624464321899
"188",players,schools,"4685487","2",225.816214537275
"189",players,schools,"4685495","1",1205.85465034415
"190",players,schools,"4685497","3",1457.49215304039
"191",players,schools,"4685500","2",841.957042469722
"192",players,schools,"4685505","2",125.316576775735
"193",players,schools,"4685506","4",78.2690657563421
"194",players,schools,"4685507","1",641.68011231454
"195",players,schools,"4685516","2",344.437503226186
"196",players,schools,"4685519","2",186.982006013505
"197",players,schools,"4685522","2",278.778975380649
"198",players,schools,"4685535","1",753.032415692869
"199",players,schools,"4685575","3",466.820127641313
"200",players,schools,"4685590","3",200.253606064921
"201",players,schools,"4685591","3",1451.7266052525
"202",players,schools,"4685723","2",42.3042495558162
"203",players,schools,"4685735","3",241.387011845125
"204",players,schools,"4685737","3",240.631164915352
"205",players,schools,"4686332","3",1024.90339201407
